symbol,dia,net,trades,winrate,avg
OGUSDT,Lunes,-1.36,142,59.9,-0.01
OGUSDT,Martes,-0.05,148,68.2,-0.0
OGUSDT,Miercoles,7.08,157,68.8,0.05
OGUSDT,Jueves,13.92,152,70.4,0.09
OGUSDT,Viernes,3.33,155,62.6,0.02
OGUSDT,Sabado,13.74,175,70.9,0.08
OGUSDT,Domingo,19.4,171,70.2,0.11
BARUSDT,Lunes,18.38,162,76.5,0.11
BARUSDT,Martes,20.88,187,74.3,0.11
BARUSDT,Miercoles,33.23,174,75.3,0.19
BARUSDT,Jueves,23.38,180,77.8,0.13
BARUSDT,Viernes,53.5,200,78.0,0.27
BARUSDT,Sabado,29.69,193,75.6,0.15
BARUSDT,Domingo,23.13,183,73.2,0.13
WIFUSDT,Lunes,87.02,278,71.6,0.31
WIFUSDT,Martes,49.45,254,65.4,0.19
WIFUSDT,Miercoles,62.42,243,68.7,0.26
WIFUSDT,Jueves,97.88,263,73.8,0.37
WIFUSDT,Viernes,78.89,296,70.9,0.27
WIFUSDT,Sabado,122.77,368,78.3,0.33
WIFUSDT,Domingo,127.01,334,82.0,0.38
APEUSDT,Lunes,-11.26,197,61.9,-0.06
APEUSDT,Martes,-0.21,203,61.6,-0.0
APEUSDT,Miercoles,-9.56,193,58.0,-0.05
APEUSDT,Jueves,-6.57,202,63.4,-0.03
APEUSDT,Viernes,-1.52,198,60.1,-0.01
APEUSDT,Sabado,-1.57,276,61.6,-0.01
APEUSDT,Domingo,15.2,246,61.4,0.06
