pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,regime_at_open,specialist,cumulative_profit,equity,peak,drawdown_abs,drawdown_pct
ETH/USDT:USDT,123.513,123.513,0.39,2025-04-13 13:45:00+00:00,2025-04-13 13:50:00+00:00,1583.5,1572.14,0.0005,0.0005,5,0.03090329503242306,5.341070279999999,trailing_stop_loss,1621.5,-0.12,1572.14,-0.01,1569.01,1589.09,False,SNIPER_BEAR_SHORT,5.0,True,1744551900000,1744552200000,"[{'amount': 0.39, 'safe_price': 1583.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744551900000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 617.8737825000001}, {'amount': 0.39, 'safe_price': 1572.14, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744552200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 613.4411673000001}]",0.0,6,LATERAL,🔮 Lateral (USANDO BEAR),5.341070279999999,1005.34107028,1005.34107028,0.0,0.0
DOGE/USDT:USDT,123.735548,123.735548,3811.0,2025-04-13 13:45:00+00:00,2025-04-13 13:50:00+00:00,0.16234,0.16148,0.0005,0.0005,5,0.021511618196679957,3.724589386,trailing_stop_loss,0.16623,-0.12,0.16148,-0.01,0.16116,0.16276,False,SNIPER_BEAR_SHORT,5.0,True,1744551900000,1744552200000,"[{'amount': 3811.0, 'safe_price': 0.16234, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744551900000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 618.98707887}, {'amount': 3811.0, 'safe_price': 0.16148, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744552200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 615.70798014}]",0.0,6,LATERAL,🔮 Lateral (USANDO BEAR),9.065659665999998,1009.065659666,1009.065659666,0.0,0.0
AVAX/USDT:USDT,121.7246,121.7246,31.0,2025-04-13 13:45:00+00:00,2025-04-13 13:55:00+00:00,19.633,19.535,0.0005,0.0005,10,0.019980448126574367,3.4032544000000002,trailing_stop_loss,20.104,-0.12,19.535,-0.01,19.497,19.686,False,SNIPER_BEAR_SHORT,5.0,True,1744551900000,1744552500000,"[{'amount': 31.0, 'safe_price': 19.633, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744551900000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 608.9273114999999}, {'amount': 31.0, 'safe_price': 19.535, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744552500000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 605.8877925}]",0.0,6,LATERAL,🔮 Lateral (USANDO BEAR),12.468914065999998,1012.468914066,1012.468914066,0.0,0.0
LINK/USDT:USDT,123.7275,123.7275,48.75,2025-04-13 13:45:00+00:00,2025-04-13 13:55:00+00:00,12.69,12.618,0.0005,0.0005,10,0.023394676061434975,4.0503645,trailing_stop_loss,12.994,-0.12,12.618,-0.01,12.593,12.733,False,SNIPER_BEAR_SHORT,5.0,True,1744551900000,1744552500000,"[{'amount': 48.75, 'safe_price': 12.69, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744551900000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 618.9468187499999}, {'amount': 48.75, 'safe_price': 12.618, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744552500000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 615.43506375}]",0.0,6,LATERAL,🔮 Lateral (USANDO BEAR),16.519278565999997,1016.519278566,1016.519278566,0.0,0.0
ETH/USDT:USDT,125.060356,125.060356,0.398,2025-04-13 13:55:00+00:00,2025-04-13 15:05:00+00:00,1571.11,1582.34,0.0005,0.0005,70,-0.040777321657245166,-7.135907169999999,airbag_1m_pump_real,1608.81,-0.12,1608.81,-0.12,1565.11,1588.76,False,SNIPER_BEAR_SHORT,5.0,True,1744552500000,1744556700000,"[{'amount': 0.398, 'safe_price': 1571.11, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744552500000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 625.61443089}, {'amount': 0.398, 'safe_price': 1582.34, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744556700000, 'ft_is_entry': False, 'ft_order_tag': 'airbag_1m_pump_real', 'cost': 630.0862056599999}]",0.0,6,LATERAL,🔮 Lateral (USANDO BEAR),9.383371395999998,1009.383371396,1016.519278566,7.135907169999996,0.7019942779704673
DOGE/USDT:USDT,125.190846,125.190846,3879.0,2025-04-13 13:55:00+00:00,2025-04-13 16:00:00+00:00,0.16137,0.16223,0.0005,0.0005,125,-0.03133404824186588,-5.489084495999999,airbag_1m_pump_real,0.16524,-0.12,0.16524,-0.12,0.16092,0.16311,False,SNIPER_BEAR_SHORT,5.0,True,1744552500000,1744560000000,"[{'amount': 3879.0, 'safe_price': 0.16137, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744552500000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 626.267207115}, {'amount': 3879.0, 'safe_price': 0.16223, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744560000000, 'ft_is_entry': False, 'ft_order_tag': 'airbag_1m_pump_real', 'cost': 629.604815085}]",0.04278756483905401,6,LATERAL,🔮 Lateral (USANDO BEAR),3.894286899999998,1003.8942869,1016.519278566,12.624991666000028,1.2419825115181344
XRP/USDT:USDT,125.208892,125.208892,292.9,2025-04-13 13:55:00+00:00,2025-04-13 16:10:00+00:00,2.1374,2.1552,0.0005,0.0005,135,-0.04634420687467388,-8.119727616,airbag_1m_pump_real,2.1886,-0.12,2.1886,-0.12,2.13,2.1588,False,SNIPER_BEAR_SHORT,5.0,True,1744552500000,1744560600000,"[{'amount': 292.9, 'safe_price': 2.1374, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744552500000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 626.35748223}, {'amount': 292.9, 'safe_price': 2.1552, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744560600000, 'ft_is_entry': False, 'ft_order_tag': 'airbag_1m_pump_real', 'cost': 631.5737090399998}]",0.04246582786862348,6,LATERAL,🔮 Lateral (USANDO BEAR),-4.225440716000002,995.774559284,1016.519278566,20.744719282000005,2.040760044537916
SOL/USDT:USDT,123.2496,123.2496,4.86,2025-04-13 20:40:00+00:00,2025-04-13 20:55:00+00:00,126.8,126.252,0.0005,0.0005,15,0.01662795119957455,2.8677090959999996,trailing_stop_loss,129.843,-0.12,126.252,-0.01,126.0,127.0,False,SNIPER_BEAR_SHORT,5.0,True,1744576800000,1744577700000,"[{'amount': 4.86, 'safe_price': 126.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744576800000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 616.5561240000001}, {'amount': 4.86, 'safe_price': 126.252, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744577700000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 613.89151236}]",0.0,6,LATERAL,🔮 Lateral (USANDO BEAR),-1.3577316200000027,998.64226838,1016.519278566,17.877010186000007,1.7586493992734735
AVAX/USDT:USDT,119.9204,119.9204,31.0,2025-04-13 21:40:00+00:00,2025-04-14 00:10:00+00:00,19.342,19.806,0.0005,0.0005,150,-0.125171209158203,-21.004306652,stop_loss,19.806,-0.12,19.806,-0.12,19.337,19.835,False,SNIPER_BEAR_SHORT,5.0,True,1744580400000,1744589400000,"[{'amount': 31.0, 'safe_price': 19.342, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744580400000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 599.901801}, {'amount': 31.0, 'safe_price': 19.806, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744589400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 614.2929929999999}]",-0.0122821809984632,0,LATERAL,🔮 Lateral (USANDO BEAR),-22.362038272000003,977.637961728,1016.519278566,38.881316837999975,3.824946329876764
DOGE/USDT:USDT,121.757384,121.757384,3778.0,2025-04-14 15:40:00+00:00,2025-04-14 15:45:00+00:00,0.16114,0.15997,0.0005,0.0005,5,0.03133765591992968,5.339156494,trailing_stop_loss,0.165,-0.12,0.15997,-0.01,0.15966,0.16155,False,SNIPER_BEAR_SHORT,5.0,True,1744645200000,1744645500000,"[{'amount': 3778.0, 'safe_price': 0.16114, 'ft_order_side': 'sell', 'order_filled_timestamp': 1744645200000, 'ft_is_entry': True, 'ft_order_tag': 'SNIPER_BEAR_SHORT', 'cost': 609.0913134599999}, {'amount': 3778.0, 'safe_price': 0.15997, 'ft_order_side': 'buy', 'order_filled_timestamp': 1744645500000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 604.66884333}]",0.0,0,LATERAL,🔮 Lateral (USANDO BEAR),-17.022881778000002,982.977118222,1016.519278566,33.54216034400008,3.2997072511323036
